epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,401.515,1.32458,0.28516,0,0.70199,2.23969,0.96976,1,0.97721,0.67767,0.96976,1,0.97721,0.95616,1.19986,0.17335,0,0.62018,1.92868,0.0017723,0.0017723,0.0017723
48,410.03,1.30185,0.29739,0,0.69006,2.23931,0.96262,0.99042,0.97837,0.66433,0.96262,0.99042,0.97837,0.96011,1.27114,0.14152,0,0.55342,1.98156,0.00176735,0.00176735,0.00176735
49,418.557,1.31378,0.27473,0,0.69044,2.23212,0.96718,0.98846,0.9752,0.6,0.97659,0.99808,0.97967,0.95842,1.52257,0.15215,0,0.60172,2.23188,0.0017624,0.0017624,0.0017624
50,427.027,1.32722,0.28113,0,0.6898,2.25778,0.97099,0.99615,0.98142,0.57054,0.97252,0.99808,0.98142,0.95892,1.47188,0.14806,0,0.65363,2.20883,0.00175745,0.00175745,0.00175745
51,435.451,1.28006,0.295,0,0.66671,2.21553,0.97718,0.99808,0.97625,0.68121,0.97718,0.99808,0.97625,0.96003,1.2222,0.14144,0,0.53851,1.95486,0.0017525,0.0017525,0.0017525
52,443.993,1.27628,0.27707,0,0.66394,2.1835,0.97466,0.99231,0.97756,0.63701,0.97844,0.99615,0.98085,0.96268,1.33349,0.12681,0,0.58582,2.05148,0.00174755,0.00174755,0.00174755
53,452.506,1.2792,0.27602,0,0.6681,2.20795,0.96774,0.99808,0.97376,0.59415,0.9696,1,0.97601,0.95568,1.41212,0.13223,0,0.62282,2.14354,0.0017426,0.0017426,0.0017426
54,460.941,1.29934,0.30653,0,0.67478,2.22698,0.97525,1,0.97691,0.70753,0.97525,1,0.97691,0.95701,1.13228,0.13919,0,0.54254,1.89017,0.00173765,0.00173765,0.00173765
55,469.493,1.28181,0.26817,0,0.66821,2.19663,0.97162,0.99423,0.97879,0.6204,0.97725,1,0.98195,0.9646,1.45641,0.15842,0,0.57639,2.16098,0.0017327,0.0017327,0.0017327
56,477.905,1.2738,0.25345,0,0.65627,2.2041,0.97485,1,0.97753,0.68097,0.97485,1,0.97753,0.96172,1.17581,0.14389,0,0.56661,1.9031,0.00172775,0.00172775,0.00172775
57,486.509,1.29096,0.26368,0,0.6786,2.21844,0.95026,0.98846,0.97111,0.67207,0.95937,0.99896,0.97597,0.95629,1.17527,0.13687,0,0.59643,1.92044,0.0017228,0.0017228,0.0017228
58,495.14,1.29966,0.27658,0,0.66071,2.2286,0.97506,1,0.97851,0.6849,0.97506,1,0.97851,0.96199,1.15347,0.12937,0,0.53872,1.87935,0.00171785,0.00171785,0.00171785
59,503.711,1.27899,0.27993,0,0.66859,2.20546,0.97718,1,0.98059,0.66665,0.97718,1,0.98059,0.96169,1.24679,0.12634,0,0.53839,1.96329,0.0017129,0.0017129,0.0017129
60,512.175,1.29565,0.26332,0,0.66613,2.20784,0.9755,0.99558,0.97812,0.69261,0.9755,0.99558,0.97812,0.95793,1.1454,0.14907,0,0.54663,1.86476,0.00170795,0.00170795,0.00170795
61,520.605,1.28754,0.23986,0,0.64894,2.20099,0.97709,1,0.98148,0.70506,0.97709,1,0.98148,0.96357,1.16697,0.12501,0,0.51266,1.89006,0.001703,0.001703,0.001703
62,529.219,1.26978,0.24906,0,0.6601,2.17006,0.97567,0.99808,0.97846,0.68503,0.97567,0.99808,0.97846,0.95652,1.20579,0.14229,0,0.52291,1.93697,0.00169805,0.00169805,0.00169805
63,537.713,1.27625,0.25485,0,0.66346,2.17885,0.97405,0.99808,0.98264,0.65829,0.97593,1,0.98264,0.95821,1.25798,0.13133,0,0.58586,1.97387,0.0016931,0.0016931,0.0016931
64,546.178,1.27127,0.22312,0,0.65267,2.1704,0.97734,1,0.98191,0.72129,0.97734,1,0.98191,0.96289,1.10607,0.12117,0,0.49677,1.85001,0.00168815,0.00168815,0.00168815
65,554.661,1.27189,0.2492,0,0.64442,2.20404,0.97407,0.99808,0.98621,0.68504,0.97407,0.99808,0.98621,0.96668,1.19853,0.14313,0,0.53386,1.91914,0.0016832,0.0016832,0.0016832
66,563.207,1.25608,0.25328,0,0.64331,2.16869,0.97821,1,0.98301,0.67559,0.97821,1,0.98301,0.96776,1.23051,0.11787,0,0.52622,1.91965,0.00167825,0.00167825,0.00167825
67,571.742,1.25413,0.26099,0,0.62077,2.1508,0.97729,1,0.9781,0.70183,0.97729,1,0.9781,0.95962,1.15881,0.12028,0,0.49677,1.87098,0.0016733,0.0016733,0.0016733
68,580.25,1.2471,0.23294,0,0.64442,2.17231,0.97557,1,0.98196,0.66962,0.97557,1,0.98196,0.95919,1.25719,0.12822,0,0.5419,1.96785,0.00166835,0.00166835,0.00166835
69,588.782,1.2731,0.23009,0,0.64244,2.18704,0.9758,1,0.98195,0.67363,0.9758,1,0.98195,0.96104,1.23461,0.12288,0,0.50218,1.93423,0.0016634,0.0016634,0.0016634
70,597.234,1.257,0.23818,0,0.63372,2.16209,0.97772,1,0.98493,0.69716,0.97772,1,0.98493,0.96241,1.22789,0.13219,0,0.49598,1.91648,0.00165845,0.00165845,0.00165845
71,605.691,1.2242,0.22474,0,0.60833,2.12369,0.97853,1,0.9824,0.67941,0.97853,1,0.9824,0.96459,1.28142,0.13223,0,0.50812,1.98429,0.0016535,0.0016535,0.0016535
72,614.203,1.2713,0.2667,0,0.63929,2.17911,0.9756,0.99954,0.97764,0.70455,0.9756,0.99954,0.97764,0.96266,1.17036,0.14023,0,0.49825,1.89071,0.00164855,0.00164855,0.00164855
73,622.777,1.23199,0.25337,0,0.62061,2.1444,0.977,1,0.98127,0.67418,0.977,1,0.98127,0.96036,1.25483,0.12229,0,0.50203,1.95792,0.0016436,0.0016436,0.0016436
74,631.235,1.25766,0.23365,0,0.63409,2.14503,0.97179,0.99383,0.97861,0.64376,0.97743,0.9996,0.98246,0.96388,1.37063,0.12067,0,0.51725,2.07015,0.00163865,0.00163865,0.00163865
75,639.708,1.24828,0.24556,0,0.63652,2.15314,0.97435,1,0.9832,0.70596,0.97435,1,0.9832,0.96342,1.12573,0.11967,0,0.5078,1.85585,0.0016337,0.0016337,0.0016337
76,648.351,1.22327,0.20831,0,0.63216,2.13189,0.97697,1,0.98244,0.68597,0.97697,1,0.98244,0.96245,1.14981,0.11874,0,0.52894,1.87791,0.00162875,0.00162875,0.00162875
77,656.823,1.23712,0.22824,0,0.62385,2.14507,0.97692,1,0.98163,0.70564,0.97692,1,0.98163,0.96382,1.12887,0.11994,0,0.49009,1.85369,0.0016238,0.0016238,0.0016238
78,665.332,1.2533,0.2126,0,0.62021,2.14926,0.97709,1,0.98469,0.71579,0.97709,1,0.98469,0.96203,1.12692,0.13765,0,0.4973,1.831,0.00161885,0.00161885,0.00161885
79,673.831,1.21932,0.23583,0,0.60541,2.11472,0.97545,1,0.98415,0.72167,0.97545,1,0.98415,0.96871,1.1011,0.11595,0,0.48317,1.83643,0.0016139,0.0016139,0.0016139
80,682.473,1.21031,0.21525,0,0.60416,2.11393,0.97727,1,0.98745,0.72398,0.97727,1,0.98745,0.9663,1.11364,0.12368,0,0.47875,1.83524,0.00160895,0.00160895,0.00160895
81,690.942,1.22165,0.21466,0,0.59735,2.13139,0.97741,1,0.98441,0.70386,0.97741,1,0.98441,0.96708,1.14836,0.12096,0,0.48905,1.86824,0.001604,0.001604,0.001604
82,699.399,1.26338,0.2195,0,0.62312,2.16775,0.97738,0.99718,0.98522,0.70404,0.97738,0.99718,0.98522,0.96499,1.13388,0.11861,0,0.51762,1.86576,0.00159905,0.00159905,0.00159905
83,707.969,1.21972,0.22133,0,0.61265,2.12038,0.97352,0.99615,0.98445,0.62025,0.97728,1,0.98708,0.96355,1.45168,0.1118,0,0.52156,2.1464,0.0015941,0.0015941,0.0015941
84,716.558,1.23241,0.22316,0,0.61006,2.13273,0.97705,1,0.98096,0.70334,0.97705,1,0.98096,0.95879,1.12746,0.11275,0,0.49182,1.84532,0.00158915,0.00158915,0.00158915
85,725.037,1.22271,0.2099,0,0.61922,2.11444,0.97721,1,0.98803,0.72406,0.97721,1,0.98803,0.96398,1.13934,0.12509,0,0.47756,1.85921,0.0015842,0.0015842,0.0015842
86,733.507,1.20494,0.2228,0,0.61068,2.08025,0.97729,1,0.9853,0.72354,0.97729,1,0.9853,0.96496,1.12596,0.11142,0,0.48563,1.85815,0.00157925,0.00157925,0.00157925
87,742.096,1.21701,0.22039,0,0.59843,2.12014,0.97547,0.99404,0.982,0.71795,0.97735,0.99596,0.98227,0.96241,1.11712,0.11579,0,0.48404,1.85643,0.0015743,0.0015743,0.0015743
88,750.781,1.25916,0.23796,0,0.63834,2.14689,0.97711,1,0.98696,0.70781,0.97711,1,0.98696,0.96427,1.13373,0.11575,0,0.49011,1.85125,0.00156935,0.00156935,0.00156935
89,759.31,1.21196,0.23029,0,0.62055,2.11448,0.97695,1,0.98133,0.67882,0.97695,1,0.98133,0.96652,1.22403,0.1127,0,0.51812,1.94541,0.0015644,0.0015644,0.0015644
90,767.777,1.21842,0.19472,0,0.61986,2.10793,0.97718,1,0.98062,0.6992,0.97718,1,0.98062,0.96287,1.17102,0.1055,0,0.47014,1.87727,0.00155945,0.00155945,0.00155945
